  Parcel Number ,  Bedrooms ,  Appraised Value ,  Sales Price ,  Sales Date ,  Baths (Full) ,  Year Built (Res) 
14 014100010075,2,119000,260000,7/17/2020,1,1940
14 013800060901,2,93900,140000,7/17/2020,1,1947
14 009400100329,2,104400,10,7/17/2020,1,1945
14 009400091791,2,112500,230000,7/17/2020,1,1949
14 007800130912,2,201300,205000,7/17/2020,2,1920
14 007200030696,2,62900,80000,7/17/2020,1,1952
14 004900081913,2,183100,217000,7/17/2020,1,1965
14 001800101924,2,292300,339000,7/17/2020,2,2001
14 001400100623,2,558200,10,7/17/2020,1,1930
12 268306740554,2,158000,198527,7/17/2020,2,1986
13 006400010419,2,62100,0,7/16/2020,1,1955
22 543010432501,2,162600,10,7/16/2020,2,1997
22 511010400901,2,187700,240000,7/16/2020,2,2003
17 011000023367,2,535000,545000,7/16/2020,2,2010
17 010600280468,2,467500,0,7/16/2020,2,1988
17 0102 LL2115,2,0,1448033,7/16/2020,2,2019
17 0102 LL1950,2,0,1493089,7/16/2020,2,2019
17 0052 LL1851,2,237600,249900,7/16/2020,2,1975
17 0052 LL1851,2,237600,249900,7/16/2020,2,1975
17 000200050270,2,689000,995000,7/16/2020,2,1932
14 016300130678,2,129500,180000,7/16/2020,1,1948
14 016300130082,2,76700,68000,7/16/2020,1,1957
14 015300030169,2,62900,225000,7/16/2020,1,1950
14 014500060332,2,83700,295000,7/16/2020,1,1939
14 014200120154,2,108700,108000,7/16/2020,1,1950
14 011600060220,2,182500,202000,7/16/2020,2,2018
14 010400010179,2,166400,195000,7/16/2020,1,1950
14 009500050333,2,105000,165500,7/16/2020,2,1940
14 008500020726,2,368900,460000,7/16/2020,2,1929
14 002400070295,2,212200,190000,7/16/2020,1,1960
14 002400070295,2,212200,299000,7/16/2020,1,1960
14 001700080046,2,1787000,0,7/16/2020,2,2005
08 140000451523,2,528200,721000,7/15/2020,2,2007
22 513311840421,2,161700,185000,7/15/2020,2,1985
