  Parcel Number ,  Bedrooms ,  Appraised Value ,  Sales Price ,  Sales Date ,  Baths (Full) ,  Year Built (Res) 
17 015600020012,5,2168300,0,10-Jul-20,5,2008
17 002200020170,5,531200,985000,10-Jul-20,3,1966
14F0128 LL2066,5,278700,230800,10-Jul-20,4,2010
14 002400060916,5,381700,490000,10-Jul-20,3,2016
12 318108940223,5,545800,10,10-Jul-20,4,1992
14 0231 LL1530,5,252200,329999,9-Jul-20,3,2003
17 018200060107,5,837500,0,9-Jul-20,3,1963
17 0123 LL2128,5,779400,10,9-Jul-20,4,2017
06 0342 LL1144,5,600000,1,8-Jul-20,3,2001
17 0076 LL0194,5,612600,590000,8-Jul-20,4,2000
17 0076 LL0194,5,612600,590000,8-Jul-20,4,2000
17 005300030015,5,1497300,1750000,8-Jul-20,4,2019
09F310001434990,5,354800,313283,7-Jul-20,4,2007
22 466612490216,5,507700,0,7-Jul-20,3,1997
17 021900010224,5,2028400,1760000,7-Jul-20,5,2014
17 014200030208,5,1280100,1202535,7-Jul-20,3,1954
17 013800021237,5,944500,2730000,7-Jul-20,5,2019
17 001300040138,5,1606800,1675000,7-Jul-20,5,2004
14F0107 LL1253,5,246900,289500,7-Jul-20,4,2001
14F0038 LL1083,5,304800,0,7-Jul-20,3,2008
12 264507090287,5,370000,340000,7-Jul-20,2,1985
12 244205770141,5,531300,528400,7-Jul-20,3,1982
11 042101420254,5,817300,789000,7-Jul-20,4,1987
11 008000321547,5,570200,574725,7-Jul-20,4,2005
12 141301190028,5,999400,0,6-Jul-20,5,1995
22 401012072454,5,664300,745000,6-Jul-20,4,2014
17 005100100190,5,750000,969049,6-Jul-20,2,1990
14 014800040109,5,354700,360000,6-Jul-20,3,1948
12 248006520886,5,623600,715000,6-Jul-20,4,2019
12 264507090287,5,370000,0,5-Jul-20,2,1985
17 000100100696,5,1166400,1240000,3-Jul-20,4,2006
22 451001930485,5,675300,730000,3-Jul-20,4,2013
22 440005541059,5,1000000,0,3-Jul-20,4,2013
22 440005541059,5,1000000,855000,3-Jul-20,4,2013
17 005200070186,5,1122400,1445000,3-Jul-20,4,2012
11 071402570210,5,423400,0,2-Jul-20,3,1988
22 539007584973,5,454700,432000,2-Jul-20,4,2013
22 534003941129,5,1319000,1748790,2-Jul-20,5,2019
22 430009570469,5,1171100,1185000,2-Jul-20,4,2014
22 410007010544,5,639200,716830,2-Jul-20,4,2001
22 410007010544,5,639200,0,2-Jul-20,4,2001
22 397008470746,5,874600,965000,2-Jul-20,5,2001
22 392005590703,5,911600,1224525,2-Jul-20,5,2001
22 373012363011,5,470500,619000,2-Jul-20,4,1999
22 342009440330,5,671800,700000,2-Jul-20,4,2016
21 570011870589,5,1040500,0,2-Jul-20,4,1998
17 022000010932,5,1144300,1290402,2-Jul-20,4,2019
17 009500031682,5,774900,1204033,2-Jul-20,4,2019
14F006600060588,5,97600,120000,2-Jul-20,3,1979
14 014200170803,5,86600,78500,2-Jul-20,2,1953
11 080003061289,5,580000,0,2-Jul-20,4,2005
11 071402570210,5,423400,480000,2-Jul-20,3,1988
06 034200030019,5,792400,1,1-Jul-20,3,1984
11 004000072669,5,318900,0,1-Jul-20,3,1999
11 015000432208,5,780700,760000,1-Jul-20,4,2001
12 278107320829,5,655000,637500,1-Jul-20,4,1992
14 019600030119,5,131000,267000,1-Jul-20,3,1956
17 011000040874,5,2000000,3000000,1-Jul-20,5,2010
21 561111190119,5,960000,1846700,1-Jul-20,5,2017
21 566011680283,5,624100,795000,1-Jul-20,4,1997
21 573011651165,5,499100,466000,1-Jul-20,3,2004
22 437003361266,5,710000,745000,1-Jul-20,4,2001
